,Product,Sales Method,Total Expenses,Expense Per Unit
0,Men's Apparel,In-store,31850500.0,35.44415807560137
1,Men's Apparel,Online,22701142.79,9.14739360393604
2,Men's Apparel,Outlet,24413958.88,14.961107569721115
3,Men's Athletic Footwear,In-store,39646375.0,31.09083044982699
4,Men's Athletic Footwear,Online,26041431.21,7.648175245098039
5,Men's Athletic Footwear,Outlet,36138985.6,14.331449504950495
6,Men's Street Footwear,In-store,53984900.0,30.345689655172414
7,Men's Street Footwear,Online,33886286.24,7.399338235294117
8,Men's Street Footwear,Outlet,38152797.14,12.454708333333333
9,Women's Apparel,In-store,43963625.0,35.30603448275862
10,Women's Apparel,Online,28919555.67,8.75524171779141
11,Women's Apparel,Outlet,37504708.77,15.261697813121273
12,Women's Athletic Footwear,In-store,26951375.0,28.64051724137931
13,Women's Athletic Footwear,Online,18053252.37,7.041068965517241
14,Women's Athletic Footwear,Outlet,22651483.69,12.447346
15,Women's Street Footwear,In-store,32655687.5,28.43706896551724
16,Women's Street Footwear,Online,21516037.25,6.92280245398773
17,Women's Street Footwear,Outlet,28735261.44,12.673425447316104
